workspace,trial_name,agent_name,model,total_milestones,total_turns,total_cost_usd,total_duration_ms,total_wall_clock_ms,total_tool_calls,total_subagent_calls,unique_session_count,total_input_tokens,total_output_tokens,total_cache_read_tokens,resolved,resolve_rate,failed,error,not_run,tool_read,tool_edit,tool_write,tool_shell,tool_search,tool_plan,tool_subagent,tool_other,mean_score_full,mean_score_reliable,mean_score_precision,mean_score_recall,sum_score_full
scikit-learn,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,12,2052,61.39844795,19604396,19604396,2045,0,1,251772253,821939,0,0,0.0,12,0,0,0,0,0,1512,0,14,0,519,0.1829897265276366,0.0569279383981515,0.0429340015331999,0.1920185288260335,2.19587671833164
scikit-learn,_codex_gpt-5.2_run_002,codex,gpt-5.2,12,2496,88.2885031,20178000,20156601,2641,0,1,337965882,1137175,0,0,0.0,12,0,0,0,0,0,0,0,75,0,2566,0.8057847503988964,0.2567146148935968,0.1920275735986955,0.8152892332717908,9.669417004786755
scikit-learn,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,12,1549,32.98731485,41826000,41608996,2201,0,1,143184819,478261,0,1,0.0833333333333333,11,0,0,0,0,0,0,0,0,0,2201,0.6260195563924448,0.2228583087662432,0.1852583404078335,0.6350068579637936,7.512234676709337
scikit-learn,_gemini-cli_gemini-3-pro_run_002,gemini-cli,gemini-3-pro-preview,12,464,69.73547889999998,11798147,11690976,399,0,1,9217500,373045,0,2,0.1666666666666666,2,0,8,74,155,31,139,0,0,0,0,0.259503275634468,0.2153822875089969,0.2033199387676999,0.2630625476735316,3.114039307613616
scikit-learn,_gemini-cli_gemini-3.1-pro_run_002,gemini-cli,gemini-3.1-pro,12,1229,114.02392299000002,15636000,16509385,1228,0,1,6829366,303229,0,1,0.0833333333333333,4,1,6,0,102,0,1122,0,0,0,4,0.3250085579969173,0.1910767942578569,0.1831120025679261,0.3416331489860902,3.900102695963008
scikit-learn,_gemini-cli_gemini-3-flash_run_002,gemini-cli,gemini-3-flash-preview,12,3058,10.9084559,40499000,67337679,3053,0,2,8366869,191536,0,1,0.0833333333333333,9,0,2,1000,810,118,1085,39,0,0,1,0.5664264470581796,0.277783210628041,0.2468862080740527,0.5784629860960794,6.797117364698154
go-zero,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,23,1110,50.66667135,7938322,22459432,1249,107,1,274340,209616,70428433,1,0.0434782608695652,16,6,0,432,282,59,306,99,65,6,0,0.3471520512478406,0.3144628889841476,0.3849675611278987,0.3735401631714303,7.984497178700335
go-zero,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,23,1634,24.580116049999997,14651670,23730352,1873,1561,2,442195,298643,43767431,1,0.0434782608695652,16,6,0,372,435,104,654,90,197,21,0,0.2609412949236782,0.2017120295585057,0.2789611577118254,0.2772903369357442,6.001649783244599
go-zero,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,23,1436,70.6381166,15113000,25772070,1779,172,1,796255,826658,154836352,0,0.0,22,1,0,618,284,79,664,60,62,11,1,0.3213057981299136,0.2716429748617985,0.3329258766125597,0.3466633036261029,7.390033356988013
go-zero,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,23,1450,85.79095004999999,9779000,39848961,2178,786,3,698108,590605,123552627,1,0.0434782608695652,22,0,0,876,332,71,538,255,73,33,0,0.3907097914818254,0.3265766090254082,0.3938152739734532,0.4297759662998233,8.986325204081984
go-zero,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,23,1223,29.87341875000001,12363629,12326359,1214,0,1,117576909,647862,0,0,0.0,16,5,2,0,0,0,879,0,22,0,313,0.3159203343236391,0.2902150670633939,0.3168185852652726,0.325733851771033,7.2661676894437
go-zero,_codex_gpt-5.2_run_002,codex,gpt-5.2,23,1488,48.8031873,13890000,13733961,1539,0,1,180541102,828482,0,1,0.0434782608695652,20,2,0,0,0,0,0,0,98,0,1441,0.3631332601257924,0.2872570718533554,0.2875319757196106,0.3855435408884022,8.352064982893227
go-zero,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,23,1257,34.10710415,44550000,44389122,1729,0,1,145976929,563708,0,2,0.0869565217391304,21,0,0,0,0,0,0,0,0,0,1729,0.4805499617206771,0.3934423943173626,0.428350750258545,0.5072181882981649,11.052649119575571
go-zero,_gemini-cli_gemini-3-pro_run_002,gemini-cli,gemini-3-pro-preview,23,932,124.35385368999988,12195699,19393639,930,0,1,8060775,394260,0,1,0.0434782608695652,15,7,0,239,298,76,249,67,0,0,1,0.2837401884330773,0.3018102618563977,0.383648153367101,0.2906699758413297,6.52602433396078
go-zero,_gemini-cli_gemini-3.1-pro_run_002,gemini-cli,gemini-3.1-pro,23,1777,15.0776529,14145000,18574478,1775,0,1,3382280,137508,0,0,0.0,20,3,0,26,12,0,1737,0,0,0,0,0.285266200480005,0.1947288624615933,0.1917393729696999,0.3176907629889626,6.561122611040116
go-zero,_gemini-cli_gemini-3-flash_run_002,gemini-cli,gemini-3-flash-preview,23,1303,6.80691156,12637000,36170224,1302,0,2,6266007,149948,0,0,0.0,20,2,1,402,302,147,339,112,0,0,0,0.3910459048818945,0.3060805652892492,0.3101960212122954,0.4140692677234957,8.994055812283575
ripgrep,codex_gpt-5.4_001,codex,gpt-5.4,11,514,26.754324,6058000,6217559,986,0,1,65854608,523668,64772096,6,0.5454545454545454,5,0,0,0,0,0,0,0,10,0,976,0.9871563746272376,0.7819033984388316,0.7288600288600289,0.9886363636363636,10.858720120899612
dubbo,codex_gpt-5.4_001,codex,gpt-5.4,12,918,52.47216,12348000,12271463,1701,0,1,117576414,986715,113897600,3,0.25,9,0,0,0,0,0,0,0,25,0,1676,0.6621655020910875,0.3048918700877434,0.2844673861545286,0.6666666666666666,7.94598602509305
element-web,codex_gpt-5.4_001,codex,gpt-5.4,18,1248,67.6783915,14025000,13986990,2274,0,1,172313017,1173095,169200256,0,0.0,18,0,0,0,0,0,0,0,27,0,2247,0.599374227567022,0.1938891867393979,0.137634993607541,0.609509421506548,10.788736096206396
navidrome,codex_gpt-5.4_001,codex,gpt-5.4,9,731,40.35985650000001,9389000,9669915,1407,0,1,98312451,743879,96257536,2,0.2222222222222222,7,0,0,0,0,0,0,0,22,0,1385,0.3880570646763494,0.3264594994327974,0.312607942842985,0.3995790250645849,3.492513582087145
nushell,codex_gpt-5.4_001,codex,gpt-5.4,13,1413,75.20718099999999,14686000,14996355,2314,0,1,205993444,1034909,202355584,1,0.0769230769230769,1,11,0,0,0,0,0,0,21,0,2293,0.1538026944806605,0.1402714932126696,0.1307692307692307,0.1538461538461538,1.9994350282485875
scikit-learn,codex_gpt-5.4_001,codex,gpt-5.4,12,1100,62.338024,12523000,12597262,2020,0,1,157188406,1007055,153661696,0,0.0,12,0,0,0,0,0,0,0,27,0,1993,0.8174564804042208,0.2714175074876657,0.237432111966315,0.8279389105497361,9.80947776485065
go-zero,codex_gpt-5.4_001,codex,gpt-5.4,23,1045,60.9711805,14428000,14538199,1730,0,1,152228719,1192025,149991552,0,0.0,23,0,0,0,0,0,0,0,26,0,1704,0.4628553986984107,0.3408209365747962,0.3380183529349767,0.5089280543267314,10.645674170063447
dubbo,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,12,702,21.59,21784000,19673252,940,236,1,1452422,159137,65849792,2,0.167,10,0,0,297,164,29,142,265,27,1,15,0.287,0.177,0.177,0.333,3.4408498068485835
dubbo,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],12,348,53.62,2194000,1938146,345,0,1,343,127563,86151055,3,0.25,8,1,0,107,69,21,129,0,13,0,6,0.371,0.328,0.333,0.417,4.452559960357163
dubbo,_claude-code_opus-4.7-xhigh_run_002,claude-code,claude-opus-4-7,12,948,43.3,17974000,30452819,1020,129,1,1000,428617,96889212,4,0.333,8,0,0,260,166,36,391,124,34,2,7,0.663,0.378,0.361,0.667,7.957840875461707
ripgrep,_claude-code_glm-5.1_refine_run_002,claude-code,glm-5.1,11,948,32.24,30500000,23847658,720,193,1,1865751,195513,58096192,5,0.455,4,2,0,288,98,3,143,142,32,0,14,0.556,0.484,0.621,0.557,6.111273600549298
ripgrep,_claude-code_opus-4.7-xhigh-1m_run_002,claude-code,claude-opus-4-7[1m],11,493,96.39,4161000,3280656,424,0,1,436,192447,139449731,5,0.455,6,0,0,109,117,1,128,52,14,0,3,0.924,0.693,0.658,0.927,10.169214724358485
